"group","fraction","treatment_group","main","color","alpha","label"
"50% to 59%",0.230573248407643,"1","Last Math Grade
Control Group","skyblue",1,"Control Group"
"60% to 69%",0.300636942675159,"1","Last Math Grade
Control Group","skyblue",1,"Control Group"
"70% to 79%",0.239490445859873,"1","Last Math Grade
Control Group","skyblue",1,"Control Group"
"Over 80%",0.154140127388535,"1","Last Math Grade
Control Group","skyblue",1,"Control Group"
"Under 50%",0.0751592356687898,"1","Last Math Grade
Control Group","skyblue",1,"Control Group"
"50% to 59%",0.22864019253911,"2","Last Math Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"60% to 69%",0.324909747292419,"2","Last Math Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"70% to 79%",0.234657039711191,"2","Last Math Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Over 80%",0.143200962695548,"2","Last Math Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"Under 50%",0.0685920577617329,"2","Last Math Grade
AI+Reduced Path","coral",0.7,"AI+Reduced Path"
"50% to 59%",0.20694087403599,"3","Last Math Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"60% to 69%",0.320051413881748,"3","Last Math Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"70% to 79%",0.263496143958869,"3","Last Math Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"Over 80%",0.123393316195373,"3","Last Math Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
"Under 50%",0.0861182519280206,"3","Last Math Grade
Tailored AI","lightgreen",0.5,"Tailored AI"
